region_1	region_2	n_pairs	RR	replicate_id
Senegal	Senegal	6	1	443
Senegal	Senegal	14	1	444
Senegal	Senegal	12	1	445
Senegal	Senegal	16	1	446
Senegal	Senegal	16	1	447
Senegal	Senegal	10	1	448
Senegal	Senegal	8	1	449
Senegal	Senegal	10	1	450
Senegal	Senegal	14	1	451
Senegal	Senegal	10	1	452
Senegal	Senegal	14	1	453
Senegal	Senegal	12	1	454
Senegal	Senegal	18	1	455
Senegal	Senegal	12	1	456
Senegal	Senegal	8	1	457
Senegal	Senegal	10	1	458
Senegal	Senegal	8	1	459
Senegal	Senegal	16	1	460
Senegal	Senegal	6	1	461
Senegal	Senegal	16	1	462
Senegal	Senegal	8	1	463
Senegal	Senegal	14	1	464
Senegal	Senegal	14	1	465
Senegal	Senegal	14	1	466
Senegal	Senegal	12	1	467
Senegal	Senegal	12	1	468
Senegal	Senegal	12	1	469
Senegal	Senegal	12	1	470
Senegal	Senegal	20	1	471
Senegal	Senegal	14	1	472
Senegal	Senegal	12	1	473
Senegal	Senegal	14	1	474
Senegal	Senegal	10	1	475
Senegal	Senegal	20	1	476
Senegal	Senegal	10	1	477
Senegal	Senegal	16	1	478
Senegal	Senegal	10	1	479
Senegal	Senegal	12	1	480
Senegal	Senegal	14	1	481
Senegal	Senegal	6	1	482
Senegal	Senegal	18	1	483
Senegal	Senegal	14	1	484
Senegal	Senegal	10	1	485
Senegal	Senegal	14	1	486
Senegal	Senegal	10	1	487
Senegal	Senegal	8	1	488
Senegal	Senegal	10	1	489
Senegal	Senegal	14	1	490
Senegal	Senegal	12	1	491
Senegal	Senegal	16	1	492
Senegal	Senegal	18	1	493
Senegal	Senegal	12	1	494
Senegal	Senegal	14	1	495
Senegal	Senegal	8	1	496
Senegal	Senegal	12	1	497
Senegal	Senegal	12	1	498
Senegal	Senegal	16	1	499
Senegal	Senegal	20	1	500
Senegal	Senegal	10	1	501
Senegal	Senegal	16	1	502
Senegal	Senegal	10	1	503
Senegal	Senegal	10	1	504
Senegal	Senegal	16	1	505
Senegal	Senegal	14	1	506
Senegal	Senegal	14	1	507
Senegal	Senegal	12	1	508
Senegal	Senegal	12	1	509
Senegal	Senegal	10	1	510
Senegal	Senegal	12	1	511
Senegal	Senegal	12	1	512
Senegal	Senegal	14	1	513
Senegal	Senegal	8	1	514
Senegal	Senegal	14	1	515
Senegal	Senegal	8	1	516
Senegal	Senegal	16	1	517
Senegal	Senegal	10	1	518
Senegal	Senegal	12	1	519
Senegal	Senegal	14	1	520
Senegal	Senegal	8	1	521
Senegal	Senegal	20	1	522
Senegal	Senegal	8	1	523
Senegal	Senegal	12	1	524
Senegal	Senegal	12	1	525
Senegal	Senegal	8	1	526
Senegal	Senegal	12	1	527
Senegal	Senegal	10	1	528
Senegal	Senegal	16	1	529
Senegal	Senegal	16	1	530
Senegal	Senegal	14	1	531
Senegal	Senegal	18	1	532
Senegal	Senegal	18	1	533
Senegal	Senegal	12	1	534
Senegal	Senegal	20	1	535
Senegal	Senegal	14	1	536
Senegal	Senegal	14	1	537
Senegal	Senegal	14	1	538
Senegal	Senegal	18	1	539
Senegal	Senegal	12	1	540
Senegal	Senegal	14	1	541
Senegal	Senegal	14	1	542
Senegal	Senegal	18	1	543
Senegal	Senegal	6	1	544
Senegal	Senegal	10	1	545
Senegal	Senegal	12	1	546
Senegal	Senegal	10	1	547
Senegal	Senegal	8	1	548
Senegal	Senegal	14	1	549
Senegal	Senegal	14	1	550
Senegal	Senegal	12	1	551
Senegal	Senegal	14	1	552
Senegal	Senegal	4	1	553
Senegal	Senegal	12	1	554
Senegal	Senegal	6	1	555
Senegal	Senegal	8	1	556
Senegal	Senegal	14	1	557
Senegal	Senegal	8	1	558
Senegal	Senegal	10	1	559
Senegal	Senegal	20	1	560
Senegal	Senegal	16	1	561
Senegal	Senegal	20	1	562
Senegal	Senegal	16	1	563
Senegal	Senegal	12	1	564
Senegal	Senegal	18	1	565
Senegal	Senegal	12	1	566
Senegal	Senegal	12	1	567
Senegal	Senegal	16	1	568
Senegal	Senegal	16	1	569
Senegal	Senegal	16	1	570
Senegal	Senegal	14	1	571
Senegal	Senegal	20	1	572
Senegal	Senegal	14	1	573
Senegal	Senegal	8	1	574
Senegal	Senegal	16	1	575
Senegal	Senegal	12	1	576
Senegal	Senegal	14	1	577
Senegal	Senegal	14	1	578
Senegal	Senegal	16	1	579
Senegal	Senegal	10	1	580
Senegal	Senegal	8	1	581
Senegal	Senegal	12	1	582
Senegal	Senegal	12	1	583
Senegal	Senegal	16	1	584
Senegal	Senegal	12	1	585
Senegal	Senegal	12	1	586
Senegal	Senegal	6	1	587
Senegal	Senegal	10	1	588
Senegal	Senegal	12	1	589
Senegal	Senegal	18	1	590
Senegal	Senegal	14	1	591
Senegal	Senegal	16	1	592
Senegal	Senegal	12	1	593
Senegal	Senegal	12	1	594
Senegal	Senegal	16	1	595
Senegal	Senegal	12	1	596
Senegal	Senegal	10	1	597
Senegal	Senegal	8	1	598
Senegal	Senegal	18	1	599
Senegal	Senegal	16	1	600
Senegal	Senegal	12	1	601
Senegal	Senegal	10	1	602
Senegal	Senegal	12	1	603
Senegal	Senegal	12	1	604
Senegal	Senegal	12	1	605
Senegal	Senegal	10	1	606
Senegal	Senegal	20	1	607
Senegal	Senegal	18	1	608
Senegal	Senegal	4	1	609
Senegal	Senegal	14	1	610
Senegal	Senegal	10	1	611
Senegal	Senegal	12	1	612
Senegal	Senegal	10	1	613
Senegal	Senegal	10	1	614
Senegal	Senegal	20	1	615
Senegal	Senegal	10	1	616
Senegal	Senegal	20	1	617
Senegal	Senegal	12	1	618
Senegal	Senegal	18	1	619
Senegal	Senegal	8	1	620
Senegal	Senegal	10	1	621
Senegal	Senegal	18	1	622
Senegal	Senegal	18	1	623
Senegal	Senegal	14	1	624
Senegal	Senegal	10	1	625
Senegal	Senegal	8	1	626
Senegal	Senegal	12	1	627
Senegal	Senegal	12	1	628
Senegal	Senegal	16	1	629
Senegal	Senegal	12	1	630
Senegal	Senegal	12	1	631
Senegal	Senegal	12	1	632
Senegal	Senegal	14	1	633
Senegal	Senegal	8	1	634
Senegal	Senegal	14	1	635
Senegal	Senegal	6	1	636
Senegal	Senegal	16	1	637
Senegal	Senegal	12	1	638
Senegal	Senegal	10	1	639
Senegal	Senegal	8	1	640
Senegal	Senegal	12	1	641
Senegal	Senegal	14	1	642
Senegal	Senegal	16	1	643
Senegal	Senegal	8	1	644
Senegal	Senegal	10	1	645
Senegal	Senegal	18	1	646
Senegal	Senegal	18	1	647
Senegal	Senegal	18	1	648
Senegal	Senegal	6	1	649
Senegal	Senegal	14	1	650
Senegal	Senegal	10	1	651
Senegal	Senegal	14	1	652
Senegal	Senegal	12	1	653
Senegal	Senegal	12	1	654
Senegal	Senegal	16	1	655
Senegal	Senegal	10	1	656
Senegal	Senegal	8	1	657
Senegal	Senegal	16	1	658
Senegal	Senegal	18	1	659
Senegal	Senegal	18	1	660
Senegal	Senegal	14	1	661
Senegal	Senegal	14	1	662
Senegal	Senegal	20	1	663
Senegal	Senegal	10	1	664
Senegal	Senegal	20	1	665
Senegal	Senegal	16	1	666
Senegal	Senegal	14	1	667
Senegal	Senegal	14	1	668
Senegal	Senegal	10	1	669
Senegal	Senegal	16	1	670
Senegal	Senegal	12	1	671
Senegal	Senegal	8	1	672
Senegal	Senegal	10	1	673
Senegal	Senegal	10	1	674
Senegal	Senegal	12	1	675
Senegal	Senegal	18	1	676
Senegal	Senegal	16	1	677
Senegal	Senegal	16	1	678
Senegal	Senegal	16	1	679
Senegal	Senegal	12	1	680
Senegal	Senegal	14	1	681
Senegal	Senegal	18	1	682
Senegal	Senegal	16	1	683
Senegal	Senegal	14	1	684
Senegal	Senegal	12	1	685
Senegal	Senegal	14	1	686
Senegal	Senegal	12	1	687
Senegal	Senegal	14	1	688
Senegal	Senegal	2	1	689
Senegal	Senegal	14	1	690
Senegal	Senegal	14	1	691
Senegal	Senegal	12	1	692
Senegal	Senegal	16	1	693
Senegal	Senegal	6	1	694
Senegal	Senegal	16	1	695
Senegal	Senegal	12	1	696
Senegal	Senegal	10	1	697
Senegal	Senegal	14	1	698
Senegal	Senegal	8	1	699
Senegal	Senegal	6	1	700
Senegal	Senegal	14	1	701
Senegal	Senegal	14	1	702
Senegal	Senegal	18	1	703
Senegal	Senegal	10	1	704
Senegal	Senegal	14	1	705
Senegal	Senegal	14	1	706
Senegal	Senegal	14	1	707
Senegal	Senegal	10	1	708
Senegal	Senegal	8	1	709
Senegal	Senegal	10	1	710
Senegal	Senegal	12	1	711
Senegal	Senegal	18	1	712
Senegal	Senegal	10	1	713
Senegal	Senegal	16	1	714
Senegal	Senegal	12	1	715
Senegal	Senegal	12	1	716
Senegal	Senegal	12	1	717
Senegal	Senegal	12	1	718
Senegal	Senegal	10	1	719
Senegal	Senegal	10	1	720
Senegal	Senegal	10	1	721
Senegal	Senegal	16	1	722
Senegal	Senegal	18	1	723
Senegal	Senegal	14	1	724
Senegal	Senegal	16	1	725
Senegal	Senegal	12	1	726
Senegal	Senegal	8	1	727
Senegal	Senegal	10	1	728
Senegal	Senegal	10	1	729
Senegal	Senegal	10	1	730
Senegal	Senegal	16	1	731
Senegal	Senegal	14	1	732
Senegal	Senegal	18	1	733
Senegal	Senegal	12	1	734
Senegal	Senegal	16	1	735
Senegal	Senegal	20	1	736
Senegal	Senegal	8	1	737
Senegal	Senegal	12	1	738
Senegal	Senegal	12	1	739
Senegal	Senegal	14	1	740
