node1,node2,length,startLon,startLat,endLon,endLat,startNodeL,endNodeL,startYear,endYear
76,77,0.0797826350842612,-14.4,14.375,-14.1666666666667,14.1666666666667,1.13164369990116,1.04974506616614,2023.42687786067,2023.50877649441
80,81,0.308054933987319,-14.34,13.84,-14.85,14.175,1.15881076069486,1.03381833261295,2023.39971079988,2023.52470322796
77,78,0.0709444386494951,-14.1666666666667,14.1666666666667,-13.7,13.75,1.04974506616614,0.980916626167401,2023.50877649441,2023.57760493441
81,82,0.062677703862692,-14.85,14.175,-15.7,14.7333333333333,1.03381833261295,0.971072639391445,2023.52470322796,2023.58744892118
93,46,0.19955804814895,-5.5,7.5,-5.5,7.5,1.14872340814877,0.949165359999824,2023.40979815243,2023.60935620058
86,37,0.391927068154075,-13.7,13.75,-15.1,15,1.33561297815396,0.943685909999886,2023.22290858242,2023.61483565058
77,23,0.110914884817041,-14.1666666666667,14.1666666666667,-15.1,15,1.04974506616614,0.940946179999855,2023.50877649441,2023.61757538058
82,83,0.0373957080657865,-15.7,14.7333333333333,-16.3,14.85,0.971072639391445,0.933573925243076,2023.58744892118,2023.62494763533
85,36,0.480382397328661,-15.1,15,-15.1,15,1.23380441006264,0.929987279999978,2023.32471715051,2023.62853428057
84,34,0.565381593025421,-15.1,15,-15.1,15,1.48857521207447,0.927247549999947,2023.0699463485,2023.63127401057
85,35,0.483122127328691,-15.1,15,-15.1,15,1.23380441006264,0.927247549999947,2023.32471715051,2023.63127401057
72,27,0.860165091845912,-14.05,14.0625,-12.3,12.5,1.78556127808188,0.919028369999978,2022.77296028249,2023.63949319057
86,38,0.416584608153982,-13.7,13.75,-12.3,12.5,1.33561297815396,0.919028369999978,2023.22290858242,2023.63949319057
80,32,0.422769122710072,-14.34,13.84,-12.3,12.5,1.15881076069486,0.919028369999978,2023.39971079988,2023.63949319057
74,21,0.369935654393894,-13.7,13.75,-12.3,12.5,1.15426127879038,0.919028369999978,2023.40426028178,2023.63949319057
78,24,0.0618882561674232,-13.7,13.75,-12.3,12.5,0.980916626167401,0.919028369999978,2023.57760493441,2023.63949319057
81,31,0.120193638722919,-14.85,14.175,-12.3,12.5,1.03381833261295,0.913548919999812,2023.52470322796,2023.64497264058
78,25,0.0673677061675895,-13.7,13.75,-15.1,15,0.980916626167401,0.913548919999812,2023.57760493441,2023.64497264058
67,47,3.25699957687912,-11.5464285714286,13.675,-15.1,15,4.16780876687913,0.910809190000009,2020.3907127937,2023.64771237057
75,22,0.568091746442525,-14.54,14.5,-15.1,15,1.31090147459867,0.910809190000009,2023.24762008598,2023.64771237057
76,26,0.220834509901149,-14.4,14.375,-15.1,15,1.13164369990116,0.910809190000009,2023.42687786067,2023.64771237057
82,30,0.06025566486003,-15.7,14.7333333333333,-14.5,14.5,0.971072639391445,0.910809190000009,2023.58744892118,2023.64771237057
83,29,0.0228599567942435,-16.3,14.85,-17.5,14.7,0.933573925243076,0.910809190000009,2023.62494763533,2023.64771237057
79,33,0.535097009338603,-14.4666666666667,14.0333333333333,-15.1,15,1.29776484182737,0.908069469999873,2023.26075671875,2023.65045209058
74,20,0.380894554394,-13.7,13.75,-15.1,15,1.15426127879038,0.908069469999873,2023.40426028178,2023.65045209058
83,28,0.0255996767943796,-16.3,14.85,-15.1,15,0.933573925243076,0.908069469999873,2023.62494763533,2023.65045209058
65,14,8.97854717233793,30.4,6.5,-43.2,-22.9,6.03575654671338,0.834096859999818,2018.52276501386,2023.72442470058
87,88,1.12920083375138,-4.5375,12.3375,-3.575,17.175,1.77886906113964,0.649668227388265,2022.77965249944,2023.90885333319
88,89,0.0586857083500023,-3.575,17.175,-2.93333333333333,20.4,0.649668227388265,0.443722781800739,2023.90885333319,2024.11479877877
89,90,0.377844377656786,-2.93333333333333,20.4,-5.5,7.5,0.443722781800739,0.212176247747584,2024.11479877877,2024.34634531283
88,42,0.491198277388339,-3.575,17.175,-5.5,7.5,0.649668227388265,0.158469949999926,2023.90885333319,2024.40005161058
92,43,1.22432571689433,-5.5,7.5,-5.5,7.5,1.26530932689434,0.0409836100000122,2023.29321223368,2024.51753795057
93,45,1.13232996814877,-5.5,7.5,-5.5,7.5,1.14872340814877,0.0163934400000016,2023.40979815243,2024.54212812057
89,39,0.582785799038375,-2.93333333333333,20.4,2.2,46.2,0.443722781800739,0.00819671999988722,2024.11479877877,2024.55032484058
90,40,0.204941421381589,-5.5,7.5,-5.5,7.5,0.212176247747584,0.00819671999988713,2024.34634531283,2024.55032484058
90,41,0.213138141381476,-5.5,7.5,-5.5,7.5,0.212176247747584,0,2024.34634531283,2024.55852156057
