Accession_ID	Genotype	Date	Host	Continent	Country	City	Longitude	Latitude
EPI_ISL_20153719	II-ECSA	2025-03-12	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153720	II-ECSA	2025-03-12	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153721	II-ECSA	2025-03-12	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153722	II-ECSA	2025-03-12	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153723	II-ECSA	2025-03-12	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153724	II-ECSA	2025-03-10	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153725	II-ECSA	2025-03-14	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153726	II-ECSA	2025-03-17	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153727	II-ECSA	2025-03-17	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153729	II-ECSA	2025-03-14	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153730	II-ECSA	2025-03-14	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153731	II-ECSA	2025-03-14	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153732	II-ECSA	2025-03-17	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153733	II-ECSA	2025-03-18	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153734	II-ECSA	2025-03-18	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153735	II-ECSA	2025-03-19	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153736	II-ECSA	2025-03-28	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153737	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153738	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
